




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (1065)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of MAPK cascade (GO:0043410)	471	9	24.36	-	.37	8.32E-04	4.17E-02
regulation of cell adhesion (GO:0030155)	737	14	38.11	-	.37	1.47E-05	1.26E-03
regulation of cell migration (GO:0030334)	896	17	46.33	-	.37	1.46E-06	1.73E-04
regulation of cell motility (GO:2000145)	952	18	49.23	-	.37	6.14E-07	7.55E-05
epithelial cell differentiation (GO:0030855)	530	10	27.41	-	.36	2.59E-04	1.65E-02
defense response (GO:0006952)	1387	26	71.72	-	.36	6.86E-10	1.42E-07
regulation of cellular component movement (GO:0051270)	1027	19	53.11	-	.36	1.45E-07	2.05E-05
regulation of locomotion (GO:0040012)	992	18	51.30	-	.35	1.40E-07	2.00E-05
regulation of cell-cell adhesion (GO:0022407)	441	8	22.80	-	.35	8.28E-04	4.18E-02
innate immune response (GO:0045087)	783	14	40.49	-	.35	3.47E-06	3.82E-04
cell adhesion (GO:0007155)	952	17	49.23	-	.35	1.85E-07	2.57E-05
biological adhesion (GO:0022610)	958	17	49.54	-	.34	1.88E-07	2.60E-05
nervous system process (GO:0050877)	1418	25	73.33	-	.34	8.13E-11	1.91E-08
cell-cell adhesion (GO:0098609)	515	9	26.63	-	.34	1.96E-04	1.30E-02
immune response (GO:0006955)	1677	29	86.72	-	.33	5.97E-13	1.92E-10
system process (GO:0003008)	2039	35	105.44	-	.33	7.94E-16	4.31E-13
cell morphogenesis involved in neuron differentiation (GO:0048667)	408	7	21.10	-	.33	7.98E-04	4.08E-02
negative regulation of locomotion (GO:0040013)	317	4	16.39	-	.24	6.28E-04	3.31E-02
wound healing (GO:0042060)	325	4	16.81	-	.24	4.52E-04	2.61E-02
chemotaxis (GO:0006935)	504	6	26.06	-	.23	6.16E-06	6.18E-04
taxis (GO:0042330)	507	6	26.22	-	.23	6.31E-06	6.28E-04
detection of stimulus (GO:0051606)	694	8	35.89	-	.22	6.13E-08	9.37E-06
negative regulation of cell migration (GO:0030336)	270	3	13.96	-	.21	1.04E-03	5.01E-02
adaptive immune response (GO:0002250)	640	6	33.10	-	.18	2.72E-08	4.65E-06
sensory perception (GO:0007600)	978	9	50.57	-	.18	1.56E-12	4.55E-10
G protein-coupled receptor signaling pathway (GO:0007186)	1216	11	62.88	-	.17	1.46E-15	7.66E-13
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	245	2	12.67	-	.16	5.75E-04	3.11E-02
inflammatory response (GO:0006954)	502	4	25.96	-	.15	3.38E-07	4.44E-05
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	2	13.34	-	.15	4.12E-04	2.44E-02
vascular process in circulatory system (GO:0003018)	260	2	13.45	-	.15	4.23E-04	2.50E-02
blood circulation (GO:0008015)	398	3	20.58	-	.15	5.93E-06	5.98E-04
circulatory system process (GO:0003013)	489	3	25.29	-	.12	7.18E-08	1.09E-05
humoral immune response (GO:0006959)	337	2	17.43	-	.11	1.09E-05	9.83E-04
axon guidance (GO:0007411)	227	1	11.74	-	.09	2.78E-04	1.74E-02
neuron projection guidance (GO:0097485)	228	1	11.79	-	.08	2.83E-04	1.76E-02
sensory perception of chemical stimulus (GO:0007606)	542	2	28.03	-	.07	6.27E-10	1.31E-07
detection of stimulus involved in sensory perception (GO:0050906)	558	2	28.86	-	.07	2.91E-10	6.28E-08
sensory perception of smell (GO:0007608)	468	1	24.20	-	.04	1.86E-09	3.67E-07
detection of chemical stimulus involved in sensory perception (GO:0050907)	488	1	25.24	-	.04	9.09E-10	1.86E-07
detection of chemical stimulus (GO:0009593)	524	1	27.10	-	.04	1.22E-10	2.70E-08
production of molecular mediator of immune response (GO:0002440)	157	0	8.12	-	 < 0.01	6.20E-04	3.29E-02
potassium ion transmembrane transport (GO:0071805)	158	0	8.17	-	 < 0.01	6.25E-04	3.31E-02
immunoglobulin production (GO:0002377)	155	0	8.02	-	 < 0.01	6.17E-04	3.29E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	0	22.91	-	 < 0.01	2.49E-10	5.43E-08
