PeakID (cmd=annotatePeaks.pl top_1000_peaks_GREAT_noheader.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-82	chr19	47745263	47745744	+	1000	NA	promoter-TSS (NM_015710)	promoter-TSS (NM_015710)	-43	NM_015710	29997	Hs.421907	NM_015710	ENSG00000105373	NOP53	GLTSCR2|PICT-1|PICT1	NOP53 ribosome biogenesis factor	protein-coding
1-839	chr6	41787569	41787846	+	1000	NA	TTS (NM_013397)	TTS (NM_013397)	264	NM_001134493	100188893	Hs.731633	NM_001134493	ENSG00000214736	TOMM6	OBTP|TOM6	translocase of outer mitochondrial membrane 6	protein-coding
1-773	chr1	228082592	228082860	+	1000	NA	promoter-TSS (NM_001658)	promoter-TSS (NM_001658)	18	NM_001658	375	Hs.286221	NM_001658	ENSG00000143761	ARF1	PVNH8	ADP ribosylation factor 1	protein-coding
1-247	chr10	121927868	121928255	+	1000	NA	promoter-TSS (NR_120495)	promoter-TSS (NR_120495)	2	NM_001001976	11101	Hs.632080	NM_007041	ENSG00000107669	ATE1	-	arginyltransferase 1	protein-coding
1-932	chr3	49786393	49786648	+	1000	NA	promoter-TSS (NM_001242829)	promoter-TSS (NM_001242829)	20	NM_001006115	9807	Hs.386168	NM_153273	ENSG00000176095	IP6K1	IHPK1|PiUS	inositol hexakisphosphate kinase 1	protein-coding
1-103	chr12	50025494	50025836	+	1000	NA	promoter-TSS (NM_013277)	promoter-TSS (NM_013277)	-108	NM_001320002	29127	Hs.505469	NM_013277	ENSG00000161800	RACGAP1	CYK4|HsCYK-4|ID-GAP|MgcRacGAP	Rac GTPase activating protein 1	protein-coding
1-244	chr1	156601298	156601613	+	1000	NA	promoter-TSS (NM_015590)	promoter-TSS (NM_015590)	32	NM_015590	54865	Hs.193832	NM_015590	ENSG00000160818	GPATCH4	GPATC4	G-patch domain containing 4	protein-coding
1-562	chr1	62436103	62436367	+	1000	NA	promoter-TSS (NM_003368)	promoter-TSS (NM_003368)	-69	NM_001017416	7398	Hs.35086	NM_003368	ENSG00000162607	USP1	UBP	ubiquitin specific peptidase 1	protein-coding
1-376	chr19	1174115	1174385	+	1000	NA	promoter-TSS (NM_014963).2	promoter-TSS (NM_014963).2	18	NM_014963	22904	Hs.408708	NM_014963	ENSG00000064932	SBNO2	KIAA0963|SNO|STNO	strawberry notch homolog 2	protein-coding
1-254	chr15	34101681	34102128	+	1000	NA	promoter-TSS (NM_020154)	promoter-TSS (NM_020154)	-42	NM_020154	56851	Hs.160565	NM_020154	ENSG00000134153	EMC7	C11orf3|C15orf24|HT022|ORF1-FL1	ER membrane protein complex subunit 7	protein-coding
1-916	chr9	136807842	136808115	+	1000	NA	promoter-TSS (NM_024718)	promoter-TSS (NM_024718)	30	NM_001173989	55684	Hs.370555	NM_017995	ENSG00000196642	RABL6	C9orf86|PARF|RBEL1|pp8875	RAB, member RAS oncogene family like 6	protein-coding
1-95	chr1	46303162	46303499	+	1000	NA	promoter-TSS (NM_006369)	promoter-TSS (NM_006369)	36	NM_006369	10489	Hs.144941	NM_006369	ENSG00000132128	LRRC41	MUF1|PP7759	leucine rich repeat containing 41	protein-coding
1-694	chr6	117602514	117602814	+	1000	NA	promoter-TSS (NM_020399)	promoter-TSS (NM_020399)	-153	NM_020399	57120	Hs.191539	NM_020399	ENSG00000047932	GOPC	CAL|FIG|GOPC1|PIST|dJ94G16.2	golgi associated PDZ and coiled-coil motif containing	protein-coding
1-315	chr2	44361443	44361938	+	1000	NA	promoter-TSS (NM_001171613)	promoter-TSS (NM_001171613)	-129	NM_001171613	9581	Hs.444349	NM_006036	ENSG00000138078	PREPL	CMS22	prolyl endopeptidase like	protein-coding
1-969	chr4	139301371	139301638	+	1000	NA	promoter-TSS (NM_001184986)	promoter-TSS (NM_001184986)	-1	NM_057175	80155	Hs.745047	NM_057175	ENSG00000164134	NAA15	Ga19|MRD50|NARG1|NAT1P|NATH|TBDN|TBDN100	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	protein-coding
1-245	chr12	14385148	14385454	+	1000	NA	promoter-TSS (NM_181352)	promoter-TSS (NM_181352)	20	NM_181352	55729	Hs.504856	NM_018179	ENSG00000171681	ATF7IP	AM|ATF-IP|MCAF|MCAF1|p621	activating transcription factor 7 interacting protein	protein-coding
1-123	chr11	4094478	4094877	+	1000	NA	promoter-TSS (NM_001033)	promoter-TSS (NM_001033)	-8	NM_001318064	6240	Hs.445705	NM_001033	ENSG00000167325	RRM1	R1|RIR1|RR1	ribonucleotide reductase catalytic subunit M1	protein-coding
1-634	chr12	62260173	62260564	+	1000	NA	promoter-TSS (NR_106740)	promoter-TSS (NR_106740)	9	NR_106740	102465133		NR_106740	ENSG00000284360	MIR6125	hsa-mir-6125|mir-6125	microRNA 6125	ncRNA
1-52	chr19	19489157	19489474	+	1000	NA	intron (NM_001359631, intron 2 of 10)	intron (NM_001359631, intron 2 of 10)	26233	NM_032037	83983	Hs.532711	NM_032037	ENSG00000178093	TSSK6	CT72|FKSG82|SSTK|TSSK4	testis specific serine kinase 6	protein-coding
1-780	chr11	77820568	77820842	+	1000	NA	promoter-TSS (NM_001316960)	promoter-TSS (NM_001316960)	129	NM_016578	51773	Hs.420229	NM_016578	ENSG00000048649	RSF1	HBXAP|RSF-1|XAP8|p325	remodeling and spacing factor 1	protein-coding
1-30	chr1	113929369	113929699	+	1000	NA	promoter-TSS (NR_110725)	promoter-TSS (NR_110725)	-9	NR_110726	101928846	Hs.232534	NR_110725	ENSG00000235527	HIPK1-AS1	-	HIPK1 antisense RNA 1	ncRNA
1-336	chr1	145927487	145927785	+	1000	NA	promoter-TSS (NM_005105)	promoter-TSS (NM_005105)	-100	NM_005105	9939	Hs.591455	NM_005105	ENSG00000265241	RBM8A	BOV-1A|BOV-1B|BOV-1C|C1DELq21.1|DEL1q21.1|MDS014|RBM8|RBM8B|TAR|Y14|ZNRP|ZRNP1	RNA binding motif protein 8A	protein-coding
1-890	chr17	75012540	75012844	+	1000	NA	promoter-TSS (NM_001303265)	promoter-TSS (NM_001303265)	22	NM_001303265	3396	Hs.407955	NM_001545	ENSG00000167862	MRPL58	DS-1|DS1|ICT1|MRP-L58	mitochondrial ribosomal protein L58	protein-coding
1-684	chr12	122225855	122226142	+	1000	NA	promoter-TSS (NR_103497)	promoter-TSS (NR_103497)	54	NM_001371333								
1-121	chr19	38831679	38832116	+	1000	NA	promoter-TSS (NM_001398)	promoter-TSS (NM_001398)	-103	NM_001398	1891	Hs.196176	NM_001398	ENSG00000104823	ECH1	HPXEL	enoyl-CoA hydratase 1	protein-coding
1-58	chr16	19555241	19555878	+	1000	NA	promoter-TSS (NR_158161)	promoter-TSS (NR_158161)	-144	NR_158161	57020	Hs.654964	NM_020314	ENSG00000103544	VPS35L	C16orf62	VPS35 endosomal protein sorting factor like	protein-coding
1-286	chr10	74176351	74176706	+	1000	NA	promoter-TSS (NM_001202449)	promoter-TSS (NM_001202449)	39	NM_001123	132	Hs.656586	NM_001123	ENSG00000156110	ADK	AK	adenosine kinase	protein-coding
1-513	chr6	20534359	20534614	+	1000	NA	promoter-TSS (NM_017774)	promoter-TSS (NM_017774)	29	NM_017774	54901	Hs.657604	NM_017774	ENSG00000145996	CDKAL1	-	CDK5 regulatory subunit associated protein 1 like 1	protein-coding
1-396	chr1	23691699	23692002	+	1000	NA	promoter-TSS (NM_000975)	promoter-TSS (NM_000975)	44	NM_000975	6135	Hs.719951	NM_000975	ENSG00000142676	RPL11	DBA7|GIG34|L11|uL5	ribosomal protein L11	protein-coding
1-134	chr1	26900271	26900579	+	1000	NA	promoter-TSS (NM_022078)	promoter-TSS (NM_022078)	42	NM_022078	63906	Hs.10903	NM_022078	ENSG00000198746	GPATCH3	GPATC3	G-patch domain containing 3	protein-coding
1-263	chr1	155241175	155241427	+	1000	NA	promoter-TSS (NM_000157)	promoter-TSS (NM_000157)	-52	NM_000157	2629	Hs.282997	NM_000157	ENSG00000177628	GBA	GBA1|GCB|GLUC	glucosylceramidase beta	protein-coding
1-526	chr22	31662030	31662339	+	1000	NA	promoter-TSS (NM_001326419)	promoter-TSS (NM_001326419)	31	NM_001326415	23761	Hs.420559	NM_014338	ENSG00000241878	PISD	DJ858B16|PSD|PSDC|PSSC|dJ858B16.2	phosphatidylserine decarboxylase	protein-coding
1-93	chr19	507114	507704	+	1000	NA	promoter-TSS (NM_033513)	promoter-TSS (NM_033513)	-88	NM_033513	91978	Hs.369613	NM_033513	ENSG00000141933	TPGS1	C19orf20|GTRGEO22|PGs1	tubulin polyglutamylase complex subunit 1	protein-coding
1-767	chr12	75511457	75511735	+	1000	NA	promoter-TSS (NM_007043)	promoter-TSS (NM_007043)	13	NM_007043	11103	Hs.645517	NM_007043	ENSG00000111615	KRR1	HRB2|RIP-1	KRR1 small subunit processome component homolog	protein-coding
1-655	chr11	63974493	63974786	+	1000	NA	promoter-TSS (NM_004074)	promoter-TSS (NM_004074)	19	NM_004074	1351	Hs.743989	NM_004074	ENSG00000176340	COX8A	COX|COX8|COX8-2|COX8L|VIII|VIII-L	cytochrome c oxidase subunit 8A	protein-coding
1-913	chr19	48445723	48446170	+	1000	NA	promoter-TSS (NM_031485)	promoter-TSS (NM_031485)	-37	NM_031485	83743	Hs.400625	NM_031485	ENSG00000105447	GRWD1	CDW4|GRWD|RRB1|WDR28	glutamate rich WD repeat containing 1	protein-coding
1-714	chr7	19708891	19709146	+	1000	NA	promoter-TSS (NM_001002926)	promoter-TSS (NM_001002926)	19	NM_001002926	221830	Hs.353035	NM_001002926	ENSG00000105849	TWISTNB	-	TWIST neighbor	protein-coding
1-77	chr10	84139174	84139465	+	1000	NA	promoter-TSS (NM_014394)	promoter-TSS (NM_014394)	-190	NM_014394	27069	Hs.352656	NM_014394	ENSG00000165678	GHITM	DERP2|HSPC282|MICS1|My021|PTD010|TMBIM5	growth hormone inducible transmembrane protein	protein-coding
1-632	chr8	27772552	27772826	+	1000	NA	promoter-TSS (NR_130762)	promoter-TSS (NR_130762)	-49	NR_156432	55246	Hs.445512	NM_018246	ENSG00000147419	CCDC25	-	coiled-coil domain containing 25	protein-coding
1-959	chr9	130712916	130713198	+	1000	NA	promoter-TSS (NM_007313)	promoter-TSS (NM_007313)	-824	NM_007313	25	Hs.431048	NM_005157	ENSG00000097007	ABL1	ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding
1-295	chr16	53703753	53704040	+	1000	NA	promoter-TSS (NM_001363898)	promoter-TSS (NM_001363898)	-37	NM_001328423	23322	Hs.298382	NM_015272	ENSG00000103494	RPGRIP1L	CORS3|FTM|JBTS7|MKS5|NPHP8|PPP1R134	RPGRIP1 like	protein-coding
1-596	chr1	44355321	44355570	+	1000	NA	promoter-TSS (NM_001301699)	promoter-TSS (NM_001301699)	-166	NM_001301700	79033	Hs.731413	NM_024066	ENSG00000117419	ERI3	PINT1|PRNPIP	ERI1 exoribonuclease family member 3	protein-coding
1-118	chr7	65982139	65982433	+	1000	NA	promoter-TSS (NM_001293105)	promoter-TSS (NM_001293105)	-73	NM_001293104	2990	Hs.255230	NM_000181	ENSG00000169919	GUSB	BG|MPS7	glucuronidase beta	protein-coding
1-604	chr1	6625039	6625356	+	1000	NA	promoter-TSS (NM_138350)	promoter-TSS (NM_138350)	47	NM_138350	90326	Hs.689006	NM_138350	ENSG00000041988	THAP3	-	THAP domain containing 3	protein-coding
1-279	chr12	32755699	32755994	+	1000	NA	promoter-TSS (NM_001040436)	promoter-TSS (NM_001040436)	51	NM_001040436	51067	Hs.505231	NM_015936	ENSG00000139131	YARS2	CGI-04|MLASA2|MT-TYRRS|TYRRS	tyrosyl-tRNA synthetase 2	protein-coding
1-790	chr21	36320131	36320412	+	1000	NA	promoter-TSS (NM_001320446)	promoter-TSS (NM_001320446)	74	NM_015358	23515	Hs.421150	NM_015358	ENSG00000159256	MORC3	NXP2|ZCW5|ZCWCC3	MORC family CW-type zinc finger 3	protein-coding
1-294	chr10	37976572	37976875	+	1000	NA	promoter-TSS (NR_138068)	promoter-TSS (NR_138068)	-76	NM_001329661	219749	Hs.499429	NM_145011	ENSG00000175395	ZNF25	KOX19|Zfp9	zinc finger protein 25	protein-coding
1-504	chr3	120742289	120742620	+	1000	NA	promoter-TSS (NM_005513)	promoter-TSS (NM_005513)	226	NM_173825	285282	Hs.444360	NM_173825	ENSG00000144840	RABL3	-	RAB, member of RAS oncogene family like 3	protein-coding
1-934	chr15	92809075	92809549	+	1000	NA	Intergenic	CpG	13828	NR_033769	728619	Hs.684129	NR_033769		ASB9P1	-	ankyrin repeat and SOCS box containing 9 pseudogene 1	pseudo
1-813	chr1	28328750	28329025	+	1000	NA	promoter-TSS (NM_017638)	promoter-TSS (NM_017638)	-153	NM_001127350	54797	Hs.479911	NM_017638	ENSG00000130772	MED18	SRB5|p28b	mediator complex subunit 18	protein-coding
1-898	chr10	86521766	86522037	+	1000	NA	promoter-TSS (NM_015045)	promoter-TSS (NM_015045)	-109	NM_015045	23063	Hs.203099	NM_015045	ENSG00000062650	WAPL	FOE|KIAA0261|WAPAL	WAPL cohesin release factor	protein-coding
1-96	chr1	224113991	224114297	+	1000	NA	promoter-TSS (NM_015176)	promoter-TSS (NM_015176)	33	NR_049764	23219	Hs.64691	NM_015176	ENSG00000143756	FBXO28	CENP-30|Fbx28	F-box protein 28	protein-coding
1-537	chr19	9584395	9584669	+	1000	NA	promoter-TSS (NM_001008727)	promoter-TSS (NM_001008727)	-28	NM_001308269	7675	Hs.501537	NM_001008727	ENSG00000197961	ZNF121	D19S204|ZHC32|ZNF20	zinc finger protein 121	protein-coding
1-137	chr17	1456076	1456468	+	1000	NA	promoter-TSS (NM_016823).2	promoter-TSS (NM_016823).2	-40	NM_016823	1398	Hs.461896	NM_005206	ENSG00000167193	CRK	CRKII|p38	CRK proto-oncogene, adaptor protein	protein-coding
1-924	chr2	70086118	70086666	+	1000	NA	intron (NR_033872, intron 1 of 10)	CpG	623	NR_033872	400960	Hs.683864	NR_033872	ENSG00000179818	PCBP1-AS1	-	PCBP1 antisense RNA 1	ncRNA
1-422	chr7	27160947	27161239	+	1000	NA	Intergenic	CpG	-4418	NM_006896	3204	Hs.660918	NM_006896	ENSG00000122592	HOXA7	ANTP|HOX1|HOX1.1|HOX1A	homeobox A7	protein-coding
1-747	chr20	62937731	62938009	+	1000	NA	promoter-TSS (NM_080797)	promoter-TSS (NM_080797)	34	NM_080797	11083	Hs.517172	NM_022105	ENSG00000101191	DIDO1	BYE1|C20orf158|DATF-1|DATF1|DIDO2|DIDO3|DIO-1|DIO1|dJ885L7.8	death inducer-obliterator 1	protein-coding
1-491	chr1	119140508	119140754	+	1000	NA	promoter-TSS (NM_201263)	promoter-TSS (NM_201263)	41	NM_015836	10352	Hs.523506	NM_015836	ENSG00000116874	WARS2	NEMMLAS|TrpRS|mtTrpRS	tryptophanyl tRNA synthetase 2, mitochondrial	protein-coding
1-140	chr19	10315834	10316125	+	1000	NA	promoter-TSS (NM_001031734)	promoter-TSS (NM_001031734)	36	NM_001031734	112812	Hs.654865	NM_080665	ENSG00000267673	FDX2	FDX1L|MEOAL	ferredoxin 2	protein-coding
1-51	chr9	127451343	127451650	+	1000	NA	promoter-TSS (NM_138361)	promoter-TSS (NM_138361)	10	NM_138361	90678	Hs.495188	NM_138361	ENSG00000148356	LRSAM1	CMT2P|RIFLE|TAL	leucine rich repeat and sterile alpha motif containing 1	protein-coding
1-905	chr2	113889802	113890097	+	1000	NA	promoter-TSS (NM_001277140)	promoter-TSS (NM_001277140)	15	NR_102318	10096	Hs.433512	NM_005721	ENSG00000115091	ACTR3	ARP3	actin related protein 3	protein-coding
1-109	chr14	87993050	87993387	+	1000	NA	promoter-TSS (NM_001201401)	promoter-TSS (NM_001201401)	-36	NM_000153	2581	Hs.513439	NM_000153	ENSG00000054983	GALC	-	galactosylceramidase	protein-coding
1-288	chr3	51384887	51385183	+	1000	NA	promoter-TSS (NM_006010)	promoter-TSS (NM_006010)	-256	NM_006010	7873	Hs.436446	NM_006010	ENSG00000145050	MANF	ARMET|ARP	mesencephalic astrocyte derived neurotrophic factor	protein-coding
1-271	chr22	38057050	38057337	+	1000	NA	promoter-TSS (NM_012407)	promoter-TSS (NM_012407)	-62	NM_001039584	9463	Hs.180871	NM_012407	ENSG00000100151	PICK1	PICK|PRKCABP	protein interacting with PRKCA 1	protein-coding
1-488	chr5	171387349	171387618	+	1000	NA	promoter-TSS (NM_001355009)	promoter-TSS (NM_001355009)	-221	NM_001355007	4869	Hs.557550	NM_002520	ENSG00000181163	NPM1	B23|NPM	nucleophosmin 1	protein-coding
1-919	chr17	28357517	28357824	+	1000	NA	promoter-TSS (NM_015584)	promoter-TSS (NM_015584)	23	NM_152464	147007	Hs.594696	NM_152464	ENSG00000244045	TMEM199	C17orf32|CDG2P|VMA12|VPH2	transmembrane protein 199	protein-coding
1-207	chr11	43358765	43359133	+	1000	NA	promoter-TSS (NM_018259)	promoter-TSS (NM_018259)	29	NM_018259	55761	Hs.191186	NM_018259	ENSG00000052841	TTC17	-	tetratricopeptide repeat domain 17	protein-coding
1-169	chr17	45161323	45161660	+	1000	NA	promoter-TSS (NM_001303441)	promoter-TSS (NM_001303441)	-354	NM_001303441	124790	Hs.56382	NM_144608	ENSG00000168517	HEXIM2	L3	HEXIM P-TEFb complex subunit 2	protein-coding
1-955	chr10	113854740	113855026	+	1000	NA	promoter-TSS (NM_014881)	promoter-TSS (NM_014881)	222	NM_198514	374354	Hs.369924	NM_198514	ENSG00000196865	NHLRC2	FINCA	NHL repeat containing 2	protein-coding
1-192	chr15	41544099	41544376	+	1000	NA	promoter-TSS (NM_015540)	promoter-TSS (NM_015540)	20	NM_015540	26015	Hs.371045	NM_015540	ENSG00000103932	RPAP1	-	RNA polymerase II associated protein 1	protein-coding
1-590	chr3	141368727	141368988	+	1000	NA	intron (NM_001080412, intron 2 of 7)	intron (NM_001080412, intron 2 of 7)	-17568	NM_001350099	253461	Hs.518301	NM_152535	ENSG00000177311	ZBTB38	CIBZ|PPP1R171|ZNF921	zinc finger and BTB domain containing 38	protein-coding
1-32	chr14	21511255	21511674	+	1000	NA	promoter-TSS (NM_019852)	promoter-TSS (NM_019852)	-124	NM_019852	56339	Hs.168799	NM_019852	ENSG00000165819	METTL3	IME4|M6A|MT-A70|Spo8|hMETTL3	methyltransferase like 3	protein-coding
1-602	chr4	145098184	145098456	+	1000	NA	promoter-TSS (NM_001040876)	promoter-TSS (NM_001040876)	9	NM_002940	6059	Hs.12013	NM_002940	ENSG00000164163	ABCE1	ABC38|OABP|RLI|RLI1|RNASEL1|RNASELI|RNS4I	ATP binding cassette subfamily E member 1	protein-coding
1-690	chr12	22544363	22544705	+	1000	NA	promoter-TSS (NM_001286175)	promoter-TSS (NM_001286175)	12	NM_001286173	9847	Hs.271014	NM_014802	ENSG00000111731	C2CD5	CDP138|KIAA0528	C2 calcium dependent domain containing 5	protein-coding
1-755	chr21	25607331	25607620	+	1000	NA	promoter-TSS (NM_017446)	promoter-TSS (NM_017446)	14	NM_017446	54148	Hs.420696	NM_017446	ENSG00000154719	MRPL39	C21orf92|L39mt|MRP-L5|MRPL5|MSTP003|PRED22|PRED66|RPML5	mitochondrial ribosomal protein L39	protein-coding
1-85	chr9	92670055	92670408	+	1000	NA	promoter-TSS (NM_022755)	promoter-TSS (NM_022755)	-100	NM_022755	64768	Hs.459896	NM_022755	ENSG00000127080	IPPK	C9orf12|INSP5K2|IP5K|IPK1|bA476B13.1	inositol-pentakisphosphate 2-kinase	protein-coding
1-84	chr1	248825913	248826388	+	1000	NA	promoter-TSS (NR_036070)	promoter-TSS (NR_036070)	-227	NR_036070	100422879		NR_036070	ENSG00000264500	MIR3124	mir-3124	microRNA 3124	ncRNA
1-195	chr7	44490579	44491024	+	1000	NA	promoter-TSS (NM_015332)	promoter-TSS (NM_015332)	-143	NM_015332	23386	Hs.488171	NM_015332	ENSG00000015676	NUDCD3	NudCL	NudC domain containing 3	protein-coding
1-299	chr9	136363595	136363911	+	1000	NA	promoter-TSS (NM_001080849)	promoter-TSS (NM_001080849)	-9	NM_001080849	728489	Hs.528581	NM_001080849	ENSG00000213221	DNLZ	C9orf151|HEP|HEP1|TIMM15|ZIM17|bA413M3.2	DNL-type zinc finger	protein-coding
1-896	chr5	138178457	138178736	+	1000	NA	promoter-TSS (NM_001300962)	promoter-TSS (NM_001300962)	34	NM_001300966	10902	Hs.519337	NM_006696	ENSG00000112983	BRD8	SMAP|SMAP2|p120	bromodomain containing 8	protein-coding
1-159	chr12	121016295	121016736	+	1000	NA	promoter-TSS (NM_001286195)	promoter-TSS (NM_001286195)	-28	NM_001286197	64897	Hs.528671	NM_022895	ENSG00000157895	C12orf43	Custos	chromosome 12 open reading frame 43	protein-coding
1-995	chr11	130002480	130002773	+	1000	NA	promoter-TSS (NR_024233)	promoter-TSS (NR_024233)	2	NR_024233	440072	Hs.630600	NM_001007543		LINC00167	C11orf37|NCRNA00167	long intergenic non-protein coding RNA 167	ncRNA
1-17	chr15	92917869	92918198	+	1000	NA	intron (NM_001042572, intron 2 of 12)	intron (NM_001042572, intron 2 of 12)	13634	NR_036136	100422995		NR_036136	ENSG00000284324	MIR3175	mir-3175	microRNA 3175	ncRNA
1-473	chr9	120842749	120843045	+	1000	NA	promoter-TSS (NM_005047)	promoter-TSS (NM_005047)	25	NM_005047	5711	Hs.193725	NM_005047	ENSG00000095261	PSMD5	S5B	proteasome 26S subunit, non-ATPase 5	protein-coding
1-120	chr3	185937256	185937677	+	1000	NA	intron (NM_004593, intron 1 of 8)	CpG	548	NM_004593	6434	Hs.533122	NM_004593	ENSG00000136527	TRA2B	Htra2-beta|PPP1R156|SFRS10|SRFS10|TRA2-BETA|TRAN2B	transformer 2 beta homolog	protein-coding
1-329	chr11	119067696	119067990	+	1000	NA	promoter-TSS (NM_001290185).2	promoter-TSS (NM_001290185).2	25	NM_001290185	55823	Hs.234282	NM_021729	ENSG00000160695	VPS11	END1|HLD12|PEP5|RNF108|hVPS11	VPS11 core subunit of CORVET and HOPS complexes	protein-coding
1-948	chr20	49936289	49936569	+	1000	NA	promoter-TSS (NM_018683)	promoter-TSS (NM_018683)	32	NM_018683	55905	Hs.144949	NM_018683	ENSG00000124226	RNF114	PSORS12|ZNF313	ring finger protein 114	protein-coding
1-48	chr22	23717231	23717540	+	1000	NA	promoter-TSS (NR_024448)	promoter-TSS (NR_024448)	38	NR_024448	91316	Hs.148656	NR_024448	ENSG00000228315	GUSBP11	-	GUSB pseudogene 11	pseudo
1-973	chr18	59359076	59359366	+	1000	NA	promoter-TSS (NM_005570)	promoter-TSS (NM_005570)	44	NM_005570	3998	Hs.465295	NM_005570	ENSG00000074695	LMAN1	ERGIC-53|ERGIC53|F5F8D|FMFD1|MCFD1|MR60|gp58	lectin, mannose binding 1	protein-coding
1-189	chr2	241315318	241315793	+	1000	NA	promoter-TSS (NM_001349309)	promoter-TSS (NM_001349309)	287	NM_005336	3069	Hs.471851	NM_005336	ENSG00000115677	HDLBP	HBP|PRO2900|VGL	high density lipoprotein binding protein	protein-coding
1-113	chr3	4467065	4467376	+	1000	NA	promoter-TSS (NM_182760)	promoter-TSS (NM_182760)	49	NM_182760	285362	Hs.350475	NM_182760	ENSG00000144455	SUMF1	AAPA3037|FGE|UNQ3037	sulfatase modifying factor 1	protein-coding
1-472	chr17	1684657	1684947	+	1000	NA	promoter-TSS (NM_006445)	promoter-TSS (NM_006445)	65	NM_006445	10594	Hs.181368	NM_006445	ENSG00000174231	PRPF8	HPRP8|PRP8|PRPC8|RP13|SNRNP220	pre-mRNA processing factor 8	protein-coding
1-27	chr16	28212036	28212350	+	1000	NA	promoter-TSS (NM_015171)	promoter-TSS (NM_015171)	-228	NM_001270940	23214	Hs.460468	NM_015171	ENSG00000169180	XPO6	EXP6|RANBP20	exportin 6	protein-coding
1-238	chr12	27710710	27711016	+	1000	NA	promoter-TSS (NM_001190864)	promoter-TSS (NM_001190864)	31	NM_021821	60488	Hs.714076	NM_021821	ENSG00000061794	MRPS35	HDCMD11P|MDS023|MRP-S28|MRPS28	mitochondrial ribosomal protein S35	protein-coding
1-136	chr6	8064415	8064700	+	1000	NA	promoter-TSS (NM_201280)	promoter-TSS (NM_201280)	-143	NM_001199323	63915	Hs.719272	NM_201280	ENSG00000188428	BLOC1S5	BLOS5|MU|MUTED	biogenesis of lysosomal organelles complex 1 subunit 5	protein-coding
1-324	chr3	66220896	66221182	+	1000	NA	promoter-TSS (NM_001350991)	promoter-TSS (NM_001350991)	36	NM_001350991	115286	Hs.379386	NM_173471	ENSG00000144741	SLC25A26	COXPD28|SAMC	solute carrier family 25 member 26	protein-coding
1-269	chr19	52028311	52028822	+	1000	NA	promoter-TSS (NM_025040)	promoter-TSS (NM_025040)	-187	NM_025040	80110	Hs.292336	NM_025040	ENSG00000142556	ZNF614	-	zinc finger protein 614	protein-coding
1-874	chr3	49093855	49094171	+	1000	NA	promoter-TSS (NM_198880)	promoter-TSS (NM_198880)	58	NM_198880	54870	Hs.297389	NM_017730	ENSG00000198218	QRICH1	AB-DIP|VERBRAS	glutamine rich 1	protein-coding
1-378	chr20	17968498	17968976	+	1000	NA	promoter-TSS (NM_001310339)	promoter-TSS (NM_001310339)	57	NM_001282454	27131	Hs.316890	NM_014426	ENSG00000089006	SNX5	-	sorting nexin 5	protein-coding
1-460	chr14	22766433	22766852	+	1000	NA	promoter-TSS (NM_005015)	promoter-TSS (NM_005015)	-46	NM_005015	5018	Hs.151134	NM_005015	ENSG00000155463	OXA1L	OXA1	OXA1L mitochondrial inner membrane protein	protein-coding
1-607	chr15	52019127	52019411	+	1000	NA	promoter-TSS (NM_002748)	promoter-TSS (NM_002748)	50	NM_002748	5597	Hs.411847	NM_002748	ENSG00000069956	MAPK6	ERK3|HsT17250|PRKM6|p97MAPK	mitogen-activated protein kinase 6	protein-coding
1-567	chr7	135557806	135558108	+	1000	NA	promoter-TSS (NM_001329434)	promoter-TSS (NM_001329434)	40	NM_001329434	23165	Hs.743250	NM_015135	ENSG00000155561	NUP205	C7orf14|NPHS13	nucleoporin 205	protein-coding
1-57	chr10	102918381	102918741	+	1000	NA	promoter-TSS (NR_160733)	promoter-TSS (NR_160733)	-226	NR_160733	107984265		NR_160733		LOC107984265	-	uncharacterized LOC107984265	ncRNA
1-482	chr1	110339319	110339617	+	1000	NA	promoter-TSS (NR_036595)	promoter-TSS (NR_036595)	145	NM_001201545	64783	Hs.435947	NM_022768	ENSG00000162775	RBM15	OTT|OTT1|SPEN	RNA binding motif protein 15	protein-coding
1-61	chr12	122526559	122526941	+	1000	NA	promoter-TSS (NM_014708)	promoter-TSS (NM_014708)	186	NM_023012	65117	Hs.432996	NM_023012	ENSG00000111011	RSRC2	-	arginine and serine rich coiled-coil 2	protein-coding
1-925	chr12	11171467	11171747	+	1000	NA	promoter-TSS (NR_133575)	promoter-TSS (NR_133575)	4	NR_133575	5554	Hs.656965	NM_006250	ENSG00000231887	PRH1	Db-s|PA|PIF-S|PRH2|Pr1/Pr2	proline rich protein HaeIII subfamily 1	protein-coding
1-809	chr17	4796069	4796352	+	1000	NA	promoter-TSS (NM_001270481)	promoter-TSS (NM_001270481)	46	NM_002798	5694	Hs.77060	NM_002798	ENSG00000142507	PSMB6	DELTA|LMPY|Y	proteasome subunit beta 6	protein-coding
