




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5080993 Released 2021-07-02
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (937)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cell migration (GO:0016477)	840	19	38.22	-	.50	8.37E-04	4.20E-02
locomotion (GO:0040011)	1195	26	54.37	-	.48	2.53E-05	2.20E-03
defense response to other organism (GO:0098542)	989	21	45.00	-	.47	9.89E-05	6.86E-03
response to bacterium (GO:0009617)	721	15	32.80	-	.46	8.69E-04	4.30E-02
cell-cell signaling (GO:0007267)	1030	21	46.86	-	.45	3.53E-05	2.85E-03
innate immune response (GO:0045087)	783	15	35.62	-	.42	1.81E-04	1.16E-02
defense response (GO:0006952)	1387	26	63.10	-	.41	1.62E-07	2.16E-05
ion transmembrane transport (GO:0034220)	854	16	38.85	-	.41	5.86E-05	4.45E-03
regulation of cellular component movement (GO:0051270)	1027	19	46.72	-	.41	7.89E-06	8.06E-04
regulation of locomotion (GO:0040012)	992	18	45.13	-	.40	8.06E-06	8.18E-04
regulation of cell migration (GO:0030334)	896	16	40.76	-	.39	1.96E-05	1.80E-03
cell adhesion (GO:0007155)	952	17	43.31	-	.39	8.10E-06	8.17E-04
regulation of cell motility (GO:2000145)	952	17	43.31	-	.39	8.10E-06	8.12E-04
biological adhesion (GO:0022610)	958	17	43.59	-	.39	8.23E-06	8.20E-04
immune response (GO:0006955)	1677	27	76.30	-	.35	7.67E-11	1.75E-08
epithelial cell differentiation (GO:0030855)	530	8	24.11	-	.33	3.53E-04	2.10E-02
positive regulation of MAPK cascade (GO:0043410)	471	7	21.43	-	.33	6.02E-04	3.20E-02
chemotaxis (GO:0006935)	504	7	22.93	-	.31	2.46E-04	1.51E-02
taxis (GO:0042330)	507	7	23.07	-	.30	1.77E-04	1.15E-02
anion transport (GO:0006820)	446	6	20.29	-	.30	4.19E-04	2.40E-02
defense response to bacterium (GO:0042742)	350	4	15.92	-	.25	8.93E-04	4.39E-02
system process (GO:0003008)	2039	23	92.77	-	.25	1.75E-18	1.20E-15
organic anion transport (GO:0015711)	314	3	14.29	-	.21	7.57E-04	3.88E-02
nervous system process (GO:0050877)	1418	13	64.51	-	.20	6.86E-15	3.60E-12
inflammatory response (GO:0006954)	502	4	22.84	-	.18	4.07E-06	4.33E-04
blood circulation (GO:0008015)	398	3	18.11	-	.17	3.39E-05	2.75E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1216	9	55.32	-	.16	1.93E-14	9.22E-12
detection of stimulus (GO:0051606)	694	5	31.57	-	.16	1.38E-08	2.09E-06
circulatory system process (GO:0003013)	489	3	22.25	-	.13	9.58E-07	1.12E-04
humoral immune response (GO:0006959)	337	2	15.33	-	.13	7.06E-05	5.24E-03
anion transmembrane transport (GO:0098656)	227	1	10.33	-	.10	8.48E-04	4.24E-02
sensory perception (GO:0007600)	978	4	44.50	-	.09	1.86E-14	9.14E-12
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	1	11.74	-	.09	2.94E-04	1.77E-02
vascular process in circulatory system (GO:0003018)	260	1	11.83	-	.08	1.88E-04	1.20E-02
leukocyte mediated immunity (GO:0002443)	281	1	12.78	-	.08	9.05E-05	6.36E-03
adaptive immune response (GO:0002250)	640	2	29.12	-	.07	2.07E-10	4.47E-08
sensory perception of smell (GO:0007608)	468	1	21.29	-	.05	3.00E-08	4.25E-06
detection of chemical stimulus (GO:0009593)	524	1	23.84	-	.04	3.04E-09	5.38E-07
sensory perception of chemical stimulus (GO:0007606)	542	1	24.66	-	.04	1.40E-09	2.63E-07
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	245	0	11.15	-	 < 0.01	4.41E-05	3.48E-03
lymphocyte mediated immunity (GO:0002449)	235	0	10.69	-	 < 0.01	6.36E-05	4.79E-03
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	0	20.15	-	 < 0.01	4.45E-09	7.61E-07
detection of chemical stimulus involved in sensory perception (GO:0050907)	488	0	22.20	-	 < 0.01	6.16E-10	1.23E-07
detection of stimulus involved in sensory perception (GO:0050906)	558	0	25.39	-	 < 0.01	2.48E-11	6.10E-09
immunoglobulin mediated immune response (GO:0016064)	179	0	8.14	-	 < 0.01	6.47E-04	3.40E-02
B cell mediated immunity (GO:0019724)	183	0	8.33	-	 < 0.01	6.92E-04	3.62E-02
